,name,place_id,types,lat,lng,rating,user_ratings_total,Tag,Busy_Time
0,安平北堤(綠),ChIJdWYSh2XfbTQRgk2vgwrEot8,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9625393,120.1474869,4.1,160,"['全部', '釣魚', '垃圾', '海', '散步']","[['', '%']]"
1,觀夕平臺,ChIJ_____wN2bjQRogqxlnZt3NQ,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9901592,120.1470983,4.3,8775,"['全部', '沙', '垃圾', '海風', '寶可夢', '攤販', '約會', '聖地', '公廁', '放空', '堤防']","[['4時', '1%'], ['5時', '0%'], ['6時', '1%'], ['7時', '3%'], ['8時', '5%'], ['9時', '7%'], ['目前繁忙程度：89%', '9%)'], ['11時', '10%'], ['12時', '12%'], ['13時', '12%'], ['14時', '13%'], ['15時', '22%'], ['16時', '52%'], ['17時', '84%'], ['18時', '69%'], ['19時', '32%'], ['20時', '17%'], ['21時', '18%'], ['22時', '18%'], ['23時', '14%'], ['0時', '8%'], ['1時', '2%'], ['2時', '1%'], ['3時', '1%']]"
2,四草大橋,ChIJn_c52f11bjQRibYqZYX9IMk,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9969776,120.1403247,4.4,755,[],[]
3,安平燈塔,ChIJt2ftV03fbTQRoEalBJil24k,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9908231,120.1470193,4.2,137,"['全部', '白色', '沙灘', '遊艇', '導航', '圓形', '磚', '種植', '河道']","[['6時', '0%'], ['7時', '0%'], ['8時', '0%'], ['9時', '20%'], ['10時', '18%'], ['11時', '11%'], ['12時', '9%'], ['13時', '20%'], ['14時', '50%'], ['15時', '86%'], ['16時', '100%'], ['17時', '0%'], ['18時', '0%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
4,台南南防波堤(紅燈),ChIJYwiLfWPfbTQRIu6PDC3nOAE,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9605549,120.1532462,4,38,"['全部', '釣魚']",[]
5,橋頭海灘公園,ChIJI5sbLU3fbTQRYOR6bS5rdyI,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",22.993724,120.143413,4.2,3502,"['全部', '夕陽', '沙', '海風', '海浪', '遊客', '攤販', '遊艇', '軍艦']","[['4時', '0%'], ['5時', '1%'], ['6時', '2%'], ['7時', '5%'], ['8時', '7%'], ['9時', '10%'], ['目前繁忙程度：68%', '13%)'], ['11時', '14%'], ['12時', '15%'], ['13時', '16%'], ['14時', '16%'], ['15時', '25%'], ['16時', '57%'], ['17時', '92%'], ['18時', '83%'], ['19時', '44%'], ['20時', '22%'], ['21時', '19%'], ['22時', '18%'], ['23時', '16%'], ['0時', '13%'], ['1時', '8%'], ['2時', '4%'], ['3時', '1%']]"
6,漁光島沙灘,ChIJ5_tQJlHfbTQR79SHxglJfq0,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9827695,120.1522869,4.4,1219,"['全部', '衝浪', '垃圾', '裝置藝術', '海浪', '玩', '區', '海風', '拖鞋', '拆除']","[['4時', '0%'], ['5時', '2%'], ['6時', '3%'], ['7時', '6%'], ['8時', '9%'], ['9時', '12%'], ['10時', '14%'], ['11時', '14%'], ['12時', '13%'], ['13時', '12%'], ['14時', '16%'], ['15時', '33%'], ['16時', '58%'], ['17時', '68%'], ['18時', '51%'], ['19時', '24%'], ['20時', '7%'], ['21時', '1%'], ['22時', '1%'], ['23時', '1%'], ['0時', '1%'], ['1時', '1%'], ['2時', '1%'], ['3時', '0%']]"
7,虱目魚主題館（參加活動請先電話預約）,ChIJQ1hB3v91bjQR__MjGJViSFw,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9831251,120.1558499,4,3373,,
8,二鯤鯓砲臺(億載金城),ChIJk_qk9P91bjQRTolgNlHUSrc,"['tourist_attraction', 'point_of_interest', 'establishment']",22.987883,120.159255,4.1,6590,"['全部', '護城河', '門票', '船', '天鵝', '安平古堡', '遊客', '城門', '課本']","[['6時', '0%'], ['7時', '0%'], ['8時', '30%'], ['9時', '35%'], ['目前繁忙程度：100%', '37%)'], ['11時', '35%'], ['12時', '32%'], ['13時', '35%'], ['14時', '49%'], ['15時', '67%'], ['16時', '71%'], ['17時', '52%'], ['18時', '0%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
9,安平定情碼頭德陽艦園區,ChIJOYFDzarYbTQRB7SC69TUJa8,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",22.9891513,120.1565805,4.2,11582,"['全部', '軍艦', '海風', '船長']","[['6時', '0%'], ['7時', '0%'], ['8時', '0%'], ['9時', '19%'], ['目前繁忙程度：83%', '29%)'], ['11時', '39%'], ['12時', '46%'], ['13時', '54%'], ['14時', '63%'], ['15時', '72%'], ['16時', '74%'], ['17時', '64%'], ['18時', '44%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
