,Unnamed: 0,name,place_id,types,lat,lng,rating,user_ratings_total,Tag,Busy_Time
350,350,玉井白色教堂,ChIJeVsPYSBkbjQR_J7uUGd6mgc,"['tourist_attraction', 'point_of_interest', 'establishment']",23.089368,120.455099,4.1,1938,"['全部', '門票', '消費', '布丁', '休閒', '建築', '踏青', '寧靜', '放空', '私人', '租借']","[['6時', '0%'], ['7時', '0%'], ['8時', '0%'], ['9時', '12%'], ['10時', '23%'], ['11時', '36%'], ['12時', '47%'], ['13時', '53%'], ['14時', '50%'], ['15時', '42%'], ['16時', '30%'], ['17時', '0%'], ['18時', '0%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
351,351,加利利漂流木方舟教堂,ChIJ-1mWkD1hbjQRqNmAS99fANg,"['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",23.0933327,120.4947628,4,516,"['全部', '清潔', '汽車', '散步', '門票', '綠', '小孩', '建築', '動物', '心靈']",[]
352,352,?吧哖抗日英雄紀念碑,ChIJucxNdVNmbjQRpOr_usLLMQU,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0583738,120.5365022,4.1,93,"['全部', '風景', '廁所', '爬山', '舒服', '志工', '步道', '視野', '狗', '車']","[['4時', '7%'], ['5時', '10%'], ['6時', '17%'], ['7時', '51%'], ['8時', '92%'], ['9時', '89%'], ['10時', '82%'], ['11時', '94%'], ['12時', '100%'], ['13時', '87%'], ['14時', '69%'], ['15時', '53%'], ['16時', '43%'], ['17時', '35%'], ['18時', '30%'], ['19時', '25%'], ['20時', '23%'], ['21時', '17%'], ['22時', '12%'], ['23時', '10%'], ['0時', '7%'], ['1時', '5%'], ['2時', '5%'], ['3時', '5%']]"
353,353,頂頭額沙洲,ChIJK_7gG5zQbTQRFSOD6MDdQj8,"['tourist_attraction', 'point_of_interest', 'establishment']",23.105021,120.0371939,4.4,1099,"['全部', '沙漠', '拖鞋', '沙丘', '西', '地形', '婚紗', '導航']","[['4時', '1%'], ['5時', '2%'], ['6時', '3%'], ['7時', '5%'], ['8時', '6%'], ['9時', '8%'], ['10時', '9%'], ['11時', '10%'], ['12時', '10%'], ['13時', '9%'], ['14時', '9%'], ['15時', '16%'], ['16時', '43%'], ['17時', '65%'], ['18時', '40%'], ['19時', '10%'], ['20時', '1%'], ['21時', '1%'], ['22時', '1%'], ['23時', '0%'], ['0時', '0%'], ['1時', '0%'], ['2時', '1%'], ['3時', '0%']]"
354,354,國聖燈塔,ChIJvfBljp3QbTQRjCLKROPbG7U,"['tourist_attraction', 'point_of_interest', 'establishment']",23.1006873,120.0358536,4.1,3406,"['全部', '沙漠', '環島', '地形', '堤防', '光害']","[['4時', '3%'], ['5時', '3%'], ['6時', '3%'], ['7時', '4%'], ['8時', '6%'], ['9時', '7%'], ['10時', '9%'], ['11時', '11%'], ['12時', '13%'], ['13時', '15%'], ['14時', '18%'], ['15時', '31%'], ['16時', '58%'], ['17時', '68%'], ['18時', '47%'], ['19時', '24%'], ['20時', '15%'], ['21時', '12%'], ['22時', '11%'], ['23時', '9%'], ['0時', '7%'], ['1時', '5%'], ['2時', '4%'], ['3時', '3%']]"
355,355,南灣碼頭遊憩區,ChIJN6BtvrvQbTQRl2owggXSehw,"['tourist_attraction', 'point_of_interest', 'establishment']",23.1086225,120.045179,4,218,"['全部', '蚵', '廁所', '船', '生態', '海風', '烤', '景觀', '感覺']","[['6時', '0%'], ['7時', '0%'], ['8時', '41%'], ['9時', '44%'], ['10時', '44%'], ['11時', '43%'], ['12時', '42%'], ['13時', '44%'], ['14時', '51%'], ['15時', '58%'], ['16時', '62%'], ['17時', '0%'], ['18時', '0%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
356,356,極西點,ChIJm7oBIXbabTQR8HYy2lBq9l8,"['tourist_attraction', 'point_of_interest', 'establishment']",23.100716,120.035994,4.6,16,"['全部', '沙漠', '燈塔', '沙丘', '地形', '海岸', '風景', '蚊子', '環島', '堤防']",[]
357,357,臺灣本島最西點,ChIJ49OG8GnabTQR9wo1PrlXP2o,"['tourist_attraction', 'point_of_interest', 'establishment']",23.1043994,120.0352877,4.2,196,"['全部', '沙漠', '燈塔', '沙丘', '地形', '海岸', '風景', '蚊子', '環島', '堤防']",[]
358,358,濟福寺-台南旅遊景點-保生大帝-文昌帝君-福德正神,ChIJ0Y0EqnB3bjQR9yNpx9Mi1ZA,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",23.0534498,120.2112147,3.6,11,[],[]
359,359,三崁店神社遺址,ChIJd76fgFZ3bjQRaKgl2wcxqAI,"['tourist_attraction', 'point_of_interest', 'establishment']",23.054487,120.244838,3.9,156,"['全部', '古蹟', '蚊子', '遺址', '樹木', '感覺', '寶可夢']","[['4時', '1%'], ['5時', '1%'], ['6時', '6%'], ['7時', '17%'], ['8時', '29%'], ['9時', '41%'], ['10時', '51%'], ['11時', '60%'], ['12時', '65%'], ['13時', '65%'], ['14時', '60%'], ['15時', '51%'], ['16時', '41%'], ['17時', '29%'], ['18時', '17%'], ['19時', '5%'], ['20時', '1%'], ['21時', '1%'], ['22時', '1%'], ['23時', '1%'], ['0時', '1%'], ['1時', '1%'], ['2時', '1%'], ['3時', '1%']]"
360,360,台灣金屬創意館(志鋼金屬),ChIJkRuQt5hwbjQRzegFDP_Dvsw,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0442335,120.2772905,4.1,536,"['全部', '小朋友', '觀光工廠', '門票', '文創', 'DIY', '產品', '熱情', '設計', '機器人']",[]
